Title,Author,Number of Pages,Date Read,Date Added,Exclusive Shelf
American Psycho,Bret Easton Ellis,399,,2026/08/22,to-read
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,274,,2025/01/23,currently-reading
Salt Water,Charles Simmons,176,,2026/08/10,to-read
"The Radetzky March (Von Trotta Family, #1)",Joseph Roth,363,,2026/08/09,to-read
Heraclitean Fire: Sketches from a Life Before Nature,Erwin Chargaff,252,,2026/08/09,currently-reading
Lázár,Nelio Biedermann,336,,2025/11/01,currently-reading
The Garden of Eden,Ernest Hemingway,248,,2026/07/23,to-read
Schaaknovelle,Stefan Zweig,105,,2026/07/15,to-read
The Penelopiad,Margaret Atwood,198,,2026/07/15,to-read
Chita: A Memory of Last Island,Lafcadio Hearn,80,,2026/06/18,to-read
Vele hemels boven de zevende,Griet Op de Beeck,271,,2026/05/25,to-read
All the Beauty in the World: The Metropolitan Museum of Art and Me,Patrick Bringley,240,2026/05/25,2026/05/25,read
"Emergence: A Memoir of Boyhood, Computation, and the Mysteries of Mind",David Sussillo,384,,2026/05/23,to-read
The Master and Margarita,Mikhail Bulgakov,372,2026/05/23,2025/12/25,read
"Dune (Dune, #1)",Frank Herbert,658,,2021/07/03,did-not-finish
Vrouwen in duistere tijden: Tien denkers van blijvende betekenis,Alicja Gescinska,509,,2026/05/20,to-read
Either/Or,Elif Batuman,368,2026/05/06,2026/04/27,read
De avonden,Gerard Reve,191,2026/04/27,2024/10/15,read
Her Body and Other Parties: Stories,Carmen Maria Machado,248,,2022/09/10,did-not-finish
The Laws of Thought: The Quest for a Mathematical Theory of the Mind,Tom  Griffiths,400,,2026/04/27,to-read
The Cantos,Ezra Pound,824,2026/04/27,2026/04/27,read
The Prison-House of Language: A Critical Account of Structuralism and Russian Formalism,Fredric Jameson,230,,2024/09/23,to-read
Vaim,Jon Fosse,120,,2026/03/28,to-read
The Reader,Bernhard Schlink,216,,2026/03/15,to-read
Bleeding Edge,Thomas Pynchon,477,,2026/03/13,to-read
Language Machines: Cultural AI and the End of Remainder Humanism (Posthumanities),Leif Weatherby,281,,2026/01/27,to-read
Capitalist Realism: Is There No Alternative?,Mark Fisher,81,2025/12/14,2025/12/14,read
It Lasts Forever and Then It's Over,Anne de Marcken,128,2025/12/13,2025/04/03,read
Prophet Song,Paul    Lynch,259,2025/11/28,2024/04/05,read
I Who Have Never Known Men,Jacqueline Harpman,173,,2025/11/19,to-read
Stories of Your Life and Others,Ted Chiang,281,2025/11/11,2025/01/23,read
Flesh,David Szalay,368,,2025/11/10,to-read
Ik was dat meisje,Anne Mieke Backer,256,,2025/11/07,to-read
"Male Fantasies: Volume 1: Women, Floods, Bodies, History",Klaus Theweleit,544,,2025/10/29,currently-reading
Pianistka [The Piano Teacher],Elfriede Jelinek,446,,2025/08/27,to-read
Dicht: Aufzeichnungen einer Tagediebin,Stefanie Sargnagel,242,,2025/08/26,to-read
The Brain Abstracted: Simplification in the History and Philosophy of Neuroscience,M. Chirimuuta,364,,2025/07/22,to-read
Fulvia: The Woman Who Broke All the Rules in Ancient Rome,Jane Draycott,362,,2025/07/12,to-read
There Is No Antimemetics Division,qntm,220,,2025/07/10,to-read
Antimemetics: Why Some Ideas Resist Spreading,Nadia Asparouhova,166,,2025/07/10,to-read
The Books of Jacob,Olga Tokarczuk,965,,2025/06/08,currently-reading
"Brave Genius: A Scientist, a Philosopher, and Their Daring Adventures from the French Resistance to the Nobel Prize",Sean B. Carroll,592,,2025/06/08,to-read
The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins,Anna Lowenhaupt Tsing,331,,2025/06/02,currently-reading
"A Brief History of Intelligence: Evolution, AI, and the Five Breakthroughs That Made Our Brains",Max Solomon Bennett,432,2025/05/31,2024/11/01,read
De geniale vriendin,Elena Ferrante,335,,2025/05/05,to-read
The Sirens of Titan,Kurt Vonnegut Jr.,224,,2025/04/18,to-read
At Swim-Two-Birds,Flann O'Brien,239,,2025/04/18,to-read
The Third Policeman,Flann O'Brien,200,,2025/04/18,to-read
What Is Life?: Evolution as Computation,Blaise Aguera y Arcas,170,,2025/04/07,to-read
The Knowledge Machine: How Irrationality Created Modern Science,Michael Strevens,368,,2025/03/18,to-read
The Complex World: An Introduction to the Foundations of Complexity Science,David C. Krakauer,208,,2025/03/03,currently-reading
De geruchten,Hugo Claus,224,2025/03/03,2025/02/10,read
The Poetics of Space,Gaston Bachelard,282,,2025/03/03,to-read
Trophäe,Gaea Schoeters,257,,2025/02/28,to-read
Surfaces and Essences: Analogy as the Fuel and Fire of Thinking,Douglas R. Hofstadter,578,,2025/02/26,to-read
His Master's Voice,Stanisław Lem,199,,2025/02/12,to-read
"Ada, or Ardor: A Family Chronicle (Vintage International)",Vladimir Nabokov,606,,2025/02/03,to-read
Transparent Things (Vintage International),Vladimir Nabokov,105,2025/02/03,2024/11/23,read
Pale Fire,Vladimir Nabokov,246,,2023/12/03,currently-reading
Madonna in a Fur Coat,Sabahattin Ali,168,2025/01/06,2025/01/06,read
Empusion,Olga Tokarczuk,384,2025/01/05,2024/01/23,read
The Grammar of Angels: A Search for the Magical Powers of Language in Renaissance Italy,Edward Wilson-Lee,250,,2025/01/01,to-read
Zorro,Isabel Allende,688,,2024/12/29,to-read
The Blind Assassin,Margaret Atwood,641,,2024/12/28,to-read
I Await the Devil's Coming,Mary MacLane,162,2024/12/16,2024/09/19,read
The Festival of Insignificance,Milan Kundera,115,2024/11/01,2024/11/01,read
V.,Thomas Pynchon,640,,2024/10/28,to-read
Die Zukunft der Wahrheit,Werner Herzog,107,,2024/10/18,to-read
Incomplete Nature: How Mind Emerged from Matter,Terrence W. Deacon,624,2024/04/13,2023/10/08,read
Collected Poems in English,Joseph Brodsky,560,2024/10/13,2024/07/17,read
Bonjour tristesse,Françoise Sagan,154,2024/10/13,2024/10/03,read
Every Thing Must Go: Metaphysics Naturalized,James Ladyman,360,,2024/10/09,to-read
Pnin,Vladimir Nabokov,184,,2024/10/08,to-read
The Complete Stories,Clarice Lispector,650,,2024/09/29,to-read
The Mind is Flat,Nick Chater,272,,2024/09/29,to-read
The Four-Chambered Heart: V3 in Nin's Continuous Novel,Anaïs Nin,187,,2024/09/26,to-read
Seduction of the Minotaur,Anaïs Nin,152,,2024/09/26,to-read
"Satantango (Apocalypse Quartet, #1)",László Krasznahorkai,274,,2024/09/22,to-read
Eleven Kinds of Loneliness,Richard Yates,230,,2024/09/20,to-read
The Inseparables,Simone de Beauvoir,,,2024/09/15,to-read
Golem XIV,Stanisław Lem,165,,2024/09/01,to-read
In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,430,,2024/08/19,to-read
I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,368,,2024/08/14,to-read
The House of the Spirits,Isabel Allende,512,,2022/07/04,currently-reading
"The Rigor of Angels: Borges, Heisenberg, Kant, and the Ultimate Nature of Reality",William Egginton,368,,2024/08/14,to-read
When We Cease to Understand the World,Benjamín Labatut,193,2024/08/14,2024/06/02,read
Slaughterhouse-Five,Kurt Vonnegut Jr.,275,2024/07/21,2021/07/03,read
The Corrections,Jonathan Franzen,653,,2024/07/19,to-read
Dubliners,James Joyce,352,,2024/07/17,to-read
"Berlin Diaries, 1940-1945",Marie Vassiltchikov,324,,2024/06/23,currently-reading
Adriatic: A Concert of Civilizations at the End of the Modern Age,Robert D. Kaplan,368,,2024/06/23,currently-reading
Wittgenstein and Modernism,Michael Lemahieu,336,,2024/06/16,to-read
The Sacred Conspiracy: The Internal Papers of the Secret Society of Acéphale and Lectures to the College of Sociology,Georges Bataille,480,,2024/06/15,to-read
De dubbelganger,Fyodor Dostoevsky,,2024/05/06,2024/04/25,read
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,233,,2024/04/25,read
Under a Glass Bell,Anaïs Nin,101,,2024/04/22,to-read
"The Peasants: Autumn (Peasants, #1)",Władysław Stanisław Reymont,261,,2024/04/22,to-read
The Beauty of the Husband: A Fictional Essay in 29 Tangos,Anne Carson,160,,2024/03/28,to-read
The Thirst for Annihilation: Georges Bataille and Virulent Nihilism (An Essay in Atheistic Religion),Nick Land,248,,2024/03/26,to-read
De tienduizend dingen,Maria Dermoût,255,,2024/03/16,to-read
Blood Music,Greg Bear,344,2024/02/29,2024/02/15,read
I've Been Thinking,Daniel C. Dennett,451,,2024/02/16,to-read
Metamodernism: The Future of Theory,Jason Ānanda Josephson Storm,328,,2024/02/10,to-read
